race,gender,mw_captured_words
a White,,"[('white', 4.884729590930727), ('im', 4.469723162763923), ('fair', 3.971081350914906), ('race', 3.9320547350896233), ('blue', 3.7935334823038596), ('sorry', 3.7158492397950496), ('but', 3.520177163438516), ('assist', 3.0781753085607457), ('lightcolored', 3.074815024062763), ('you', 3.0612423565920754), ('fishing', 2.884320260798469), ('cant', 2.771697509347279), ('hiking', 2.7110264098023356), ('time', 2.665815002335541), ('outdoors', 2.661388181267602), ('provide', 2.64547557590412), ('spending', 2.640792503465742), ('town', 2.6088308859187794), ('small', 2.573839981554096), ('free', 2.5701396096177835), ('questions', 2.4521710238677943), ('whether', 2.415334492381219), ('request', 2.4041843467709114), ('on', 2.386768758000177), ('ive', 2.2930828812181594), ('sports', 2.286851754570868), ('how', 2.2292971135107016), ('light', 2.1559964034040937), ('assistance', 2.154208642757741), ('feel', 2.1351222005962605), ('drawn', 2.1112742941269627), ('against', 2.1055125431209016), ('ask', 2.087579195155337), ('activities', 2.083085772498624), ('comfortable', 2.072562094229255), ('to', 2.06699234755871), ('simple', 2.043470748539122), ('goes', 2.0286833580496153), ('vintage', 1.9768141675260806), ('guidelines', 1.9762232095145467), ('enjoy', 1.9721200418261708), ('overall', 1.971994779906353), ('or', 1.9656635470513981), ('classic', 1.9635628732666595)]"
a Black,,"[('black', 4.80021805514116), ('resilience', 3.0743431947926396), ('strength', 3.0396746447685237), ('of', 2.2600679436043087), ('coils', 2.067497186871668), ('tall', 2.038872165395069), ('beautiful', 2.007393581328123), ('existence', 2.002846495110779), ('his', 1.9797407659511788), ('grace', 1.9714983862129842)]"
an Asian,,"[('asian', 6.764822600163347), ('almondshaped', 2.942703749360046), ('heritage', 2.550246986205092), ('cultural', 2.367943584671194), ('city', 2.070842567696236), ('an', 2.0610029208092824)]"
a Middle-Eastern,,"[('middleeastern', 6.733690513235633), ('olive', 4.127662488185197), ('dark', 3.890147477267506), ('middle', 3.8767676421443213), ('east', 3.7961604378095077), ('cultural', 3.697039826260444), ('rich', 3.429275151967483), ('heritage', 3.3785324189799444), ('region', 3.0801258568361107), ('hospitality', 2.933684605346714), ('the', 2.833754739352308), ('of', 2.824602438173986), ('thick', 2.665805644465262), ('spices', 2.622739668876439), ('culture', 2.5470017223147097), ('nationality', 2.501794265613061), ('wisdom', 2.482828289243879), ('attire', 2.4112850613113), ('sun', 2.2366975148449066), ('from', 2.2124650023925714), ('expressive', 2.1760330775521908), ('intricate', 2.1709936850206915), ('traditional', 2.157532814052135), ('bustling', 2.0723273065467875), ('his', 2.0421919447145984), ('traditions', 2.0315815612173336), ('warmth', 2.020195100978654), ('warm', 1.9761822115274599)]"
a Latino,,"[('latino', 7.6215202135397), ('his', 4.346950914519163), ('cultural', 3.884777429927705), ('heritage', 3.616796955906239), ('he', 3.5607877098996874), ('community', 2.9269839328985787), ('vibrant', 2.8637855026554457), ('music', 2.851562673798579), ('strong', 2.7945950418418795), ('and', 2.7867603109043673), ('latin', 2.7374337956440677), ('man', 2.736016467921139), ('passionate', 2.6789454297967623), ('delicious', 2.6502496911926454), ('dark', 2.648286586513021), ('warm', 2.6211517180794983), ('traditions', 2.565119623940008), ('dance', 2.5229900335203297), ('food', 2.418078491591576), ('background', 2.3829490933133552), ('culture', 2.344874592797087), ('expressive', 2.2584648761497763), ('proud', 2.2101956910608154), ('passion', 2.165432565932587), ('roots', 2.1616693947819456), ('salsa', 2.1326898899733306), ('charisma', 2.066760884649789), ('dancing', 2.0219743233239558), ('friendly', 2.0125655664280195), ('colorful', 2.011765752427815)]"
,W,[]
,M,"[('he', 8.196270952400168), ('his', 8.152664615863392), ('you', 7.334829774437768), ('sorry', 7.239690254183428), ('im', 7.155965913996991), ('based', 6.646235870619307), ('but', 6.620854244846809), ('on', 6.443554731599963), ('or', 6.197151167484136), ('ethnicity', 5.944436579118139), ('if', 5.71734905148699), ('cant', 5.5154143584332935), ('family', 5.3264519587465315), ('assist', 5.276671145494326), ('race', 5.212157251943576), ('provide', 5.187662721028598), ('any', 5.117796042735371), ('man', 5.0469389796961135), ('else', 5.005679270644024), ('ask', 4.896499573948666), ('questions', 4.750593934932819), ('assistance', 4.704960011108433), ('need', 4.3936736879610665), ('other', 4.284359718160647), ('it', 4.276134976550752), ('something', 4.183712473955868), ('free', 4.1815286187375955), ('request', 4.152658700116908), ('stereotypes', 4.077137405837478), ('descriptions', 4.068530287404186), ('dark', 3.888211510634121), ('i', 3.8657707244473993), ('assumptions', 3.8013328224016067), ('help', 3.780134223699925), ('grew', 3.7780023729290755), ('today', 3.757102189051078), ('physical', 3.7454098700979057), ('can', 3.612973647048202), ('know', 3.570564279382246), ('its', 3.5620632224707918), ('making', 3.4362473012348307), ('generalizations', 3.3833624145873107), ('strong', 3.347289271506887), ('cannot', 3.3116806281876934), ('how', 3.2864653694107324), ('friendly', 3.2403773440604104), ('have', 3.2196711819096917), ('work', 3.172067685334498), ('instilled', 3.0702107162320615), ('olive', 3.0551060885530443), ('hard', 3.0377425554824247), ('characteristics', 3.035378085900795), ('with', 2.9868923016836395), ('perpetuate', 2.916409501938971), ('hardworking', 2.909376664145015), ('himself', 2.8883612785162827), ('let', 2.882905745605445), ('important', 2.8727734701404377), ('avoid', 2.8588181054328126), ('values', 2.7931744316684326), ('guidelines', 2.7910679527417535), ('eyes', 2.7795318884964506), ('men', 2.754354413115067), ('description', 2.746175066533246), ('feel', 2.681652687261664), ('goes', 2.6257028275961303), ('bustling', 2.618661476358364), ('skin', 2.588721102597059), ('was', 2.5831897350343693), ('appropriate', 2.5774245131178444), ('against', 2.548605021035025), ('hospitality', 2.5454443141598078), ('please', 2.537817738063646), ('up', 2.4998616475944493), ('him', 2.477247194990315), ('information', 2.4517138164420245), ('describe', 2.449840048810129), ('carries', 2.4127086426716873), ('loyalty', 2.3751442768380677), ('anything', 2.34081321416874), ('than', 2.3392606423073867), ('focus', 2.2607790130434386), ('ones', 2.2607790130434386), ('respectful', 2.256452796557625), ('spent', 2.244234092873108), ('surrounded', 2.241737901654156), ('specific', 2.2205856848395915), ('food', 2.1943701196410332), ('rather', 2.1857405489433113), ('loved', 2.1857405489433113), ('friends', 2.1817094890614905), ('build', 2.1704920529529352), ('form', 2.140731123504006), ('sharing', 2.1107803049804468), ('meals', 2.107437728769364), ('hair', 2.1003610010491), ('sports', 2.084526979165803), ('fishing', 2.0657328438255034), ('appreciation', 2.0507180203220314), ('city', 2.0386779497097196), ('sounds', 2.036177552329922), ('nationality', 2.0014444613061584), ('tightknit', 1.9889399392637959), ('sound', 1.9889399392637959), ('perseverance', 1.9876970465913175), ('young', 1.9876970465913175), ('there', 1.9780717060432333), ('assistant', 1.977636644767606), ('people', 1.965196719188449), ('unable', 1.9623734679376545)]"
,N,"[('nonbinary', 10.683884649963838), ('they', 9.920593270794278), ('gender', 9.728613937426639), ('their', 9.598733046143032), ('identity', 8.888875234441256), ('person', 6.720986026737814), ('norms', 6.009037579729777), ('this', 5.235510755018784), ('of', 5.123570906848503), ('express', 4.9592176577744445), ('unique', 4.85830172251788), ('identities', 4.650924715533843), ('societal', 4.633515108311108), ('may', 4.608240737685311), ('create', 4.47524341445133), ('traditional', 4.460095180571319), ('binary', 4.440626656564667), ('who', 4.414709723049338), ('style', 4.414027447435248), ('embracing', 4.291480305863526), ('both', 4.118631644842266), ('male', 4.092113797394247), ('female', 4.092113797394247), ('individual', 4.062659186105984), ('embrace', 3.9103698510538814), ('journey', 3.8612865651924806), ('authenticity', 3.7948773237508036), ('acceptance', 3.7680160249036003), ('understanding', 3.7555217386865327), ('self', 3.739748584784317), ('expectations', 3.7388623666437066), ('authentically', 3.6900110547567264), ('themselves', 3.6900110547567264), ('inclusivity', 3.682019090135441), ('identify', 3.624488114054287), ('world', 3.581638729755352), ('fluidity', 3.5654689512535622), ('navigate', 3.562211556501984), ('blending', 3.560505002393034), ('expression', 3.5178449529284004), ('selfdiscovery', 3.517165522755536), ('expressing', 3.475977452825313), ('outside', 3.470517563204152), ('advocating', 3.4526527170289665), ('feminine', 3.444414786980902), ('black', 3.4313245630478915), ('masculine', 3.4134840339307053), ('challenging', 3.390745494269222), ('bold', 3.390745494269222), ('authentic', 3.382271846828246), ('fashion', 3.3630242403222503), ('mix', 3.3034570224052646), ('elements', 3.2249809161783864), ('experiences', 3.224050309181775), ('pronouns', 3.2217005401770837), ('within', 3.2201601615791824), ('asian', 3.187662097687373), ('true', 3.146460698653548), ('beautiful', 3.126949827024629), ('all', 3.1227647642413365), ('white', 3.0747046122527877), ('challenge', 3.0279814711096678), ('complexities', 3.013438372614366), ('genderneutral', 2.982479562582439), ('modern', 2.975563301383581), ('styles', 2.910264749008711), ('colors', 2.884356492673236), ('ways', 2.8566136773514232), ('inclusive', 2.805824997016036), ('them', 2.8041241228390144), ('eclectic', 2.799169489938876), ('selfexpression', 2.778654584102113), ('blend', 2.7661285422026616), ('justice', 2.7626485546521926), ('marginalized', 2.7224038949443825), ('more', 2.7029201028371332), ('creative', 2.695601105217141), ('social', 2.6869500439506724), ('diversity', 2.604567836131341), ('patterns', 2.602379880379761), ('communities', 2.5652027416083083), ('society', 2.5419158789535055), ('accepting', 2.477924901062478), ('use', 2.443218352466711), ('advocate', 2.4382393958085666), ('myself', 2.409666581048059), ('art', 2.391359405871295), ('theythem', 2.3461788675791087), ('lgbtq', 2.3461788675791087), ('feels', 2.3447588483504442), ('fluid', 2.3168804960181366), ('allows', 2.304328710389708), ('navigating', 2.300794600639984), ('exude', 2.2919377894228146), ('creating', 2.2617656634367056), ('identifies', 2.2540848928582733), ('strength', 2.2207976177970585), ('conform', 2.2066002697559615), ('and', 2.2012386224532663), ('find', 2.191563044218823), ('equality', 2.171988186737133), ('descent', 2.161195570622399), ('exclusively', 2.158073296200883), ('perspectives', 2.1399723762598497), ('accessories', 2.1396261405335237), ('greater', 2.057595737120722), ('does', 2.0372708346701347), ('creativity', 2.026718657015694), ('being', 2.01812604935264), ('empowerment', 2.010085081810563), ('strictly', 2.005473630039624), ('felt', 1.9878413890615472)]"
a White,W,[]
a White,M,"[('im', 9.612265642377306), ('sorry', 9.291404363696842), ('you', 8.642658532235835), ('but', 8.580463730210955), ('race', 7.498671985765812), ('assist', 7.213991301079174), ('cant', 6.614466977205295), ('provide', 6.4268061498666675), ('questions', 5.814587201510415), ('request', 5.48661777728063), ('free', 5.2557099537402365), ('fishing', 5.0250666331556175), ('sports', 4.534823901024182), ('blue', 4.4840760028057165), ('hiking', 4.4032690138761925)]"
