race,gender,top_ten_words
a White,,"[('blue', 6.758315775715578), ('fair', 5.683882829698341), ('blonde', 4.618348457462627), ('light', 4.351250041339293), ('freckles', 3.956674208360972), ('pale', 3.878003058904015), ('hiking', 3.7245598964182807), ('green', 3.7057896532483885), ('red', 3.6957421148160776)]"
a Black,,"[('rich', 5.250091898419792), ('coiled', 5.105675307520453), ('resilience', 5.07206122041587), ('african', 5.011059246838022), ('deep', 4.74145682892662), ('curls', 4.494119618227724), ('strength', 4.219900000898031), ('tightly', 3.8971543040205487), ('tight', 3.5432385148711534)]"
an Asian,,"[('almondshaped', 6.2361498173973935), ('modern', 3.8023881164461257), ('dark', 3.6376529914367395), ('heritage', 3.512369877340427), ('smooth', 3.092836750501944), ('cultural', 3.0206531708338806), ('cheekbones', 3.017440674643992)]"
a Middle-Eastern,,"[('dark', 5.835780161201443), ('region', 5.160034053762266), ('olive', 5.003509264729487), ('rich', 4.648229785510439), ('thick', 4.623257985006839)]"
a Latino,,"[('heritage', 5.347205350986872), ('spanish', 4.911233608724803), ('dark', 4.282063043600938), ('vibrant', 4.17732079729543), ('rich', 4.163820051351673), ('cultural', 4.154001100570898), ('america', 3.9341427654215857)]"
,W,[]
,M,"[('brown', 6.3506035677061705), ('straight', 5.051895346044817), ('dark', 4.8947828999351355), ('build', 4.6494212538969615), ('facial', 4.558078454098443), ('physical', 4.2423413061999256)]"
,N,"[('gender', 11.17432388682382), ('identity', 8.96049258397823), ('person', 7.784945402839689), ('traditional', 6.71790903676253), ('alex', 6.282725134587343), ('elements', 5.988372366035999), ('norms', 5.960433012597575)]"
a White,W,[]
a White,M,"[('blue', 9.233040474177994), ('light', 7.329014149493295), ('fair', 7.197162761269494), ('build', 6.817878663868944), ('tall', 6.291885333555626), ('straight', 5.972004598488931), ('can', 5.820216364225789), ('feet', 5.645630532618007)]"
a White,N,"[('traditional', 4.63312492687224)]"
a Black,W,[]
a Black,M,[]
a Black,N,"[('bold', 7.216654558886772), ('patterns', 5.494728240773512), ('unique', 5.4882517369077135), ('braids', 5.0776221189921396), ('curls', 5.028265462790729), ('vibrant', 4.768290058391787), ('traditional', 4.72704753340205), ('blend', 4.580114462864325)]"
an Asian,W,"[('almondshaped', 6.174506177949402)]"
an Asian,M,"[('almondshaped', 5.794283855994778)]"
an Asian,N,"[('traditional', 6.580557260796482), ('contemporary', 6.093476172155835), ('blend', 5.590263440032075), ('modern', 5.1547214702099655), ('sleek', 4.899025612321719), ('kai', 4.642665477482329)]"
a Middle-Eastern,W,[]
a Middle-Eastern,M,[]
a Middle-Eastern,N,"[('contemporary', 6.402368711669652), ('traditional', 6.355013202918769), ('flowing', 6.302021643332022), ('samira', 5.940950975744384), ('intricate', 5.935409453602779), ('loose', 5.263177496121546), ('blend', 5.215643488230578), ('tunic', 5.135739746825936)]"
a Latino,W,"[('alejandro', 4.881074251793429)]"
a Latino,M,"[('vibrant', 4.183342101523648)]"
a Latino,N,"[('alex', 7.805837609473045), ('traditional', 6.6191580545935835), ('vibrant', 6.397137521606057), ('american', 5.253572850946261), ('colorful', 5.077371132383973), ('patterns', 4.921611129220304)]"
