race,gender,mw_captured_words
a White,,"[('fair', 7.794177864056993), ('blue', 7.742008336837276), ('white', 5.980648733887003), ('blonde', 5.332743865021136), ('ive', 4.497039184797338), ('european', 4.427908498688757), ('im', 4.148529465687456), ('at', 3.9678009093895112), ('complexion', 3.9572112844450302), ('light', 3.9009917390957445), ('green', 3.837753419915458), ('blond', 3.6928990546380582), ('clear', 3.5608603488667234), ('gray', 3.4781501786512825), ('sandy', 3.37011466256296), ('caucasian', 3.304531546197738), ('pale', 3.290242765949798), ('to', 3.2869490923742704), ('color', 3.1607160779758927), ('striking', 3.1501291925209607), ('shirt', 3.130169884258946), ('stand', 3.0620326011751944), ('red', 3.06201429754722), ('casual', 3.038616877676342), ('hazel', 3.0283054239651963), ('jeans', 2.8343616214643492), ('', 2.8266248672255556), ('freckles', 2.7585499298269798), ('lightcolored', 2.7479242790277945), ('an', 2.7440203150049856), ('neutral', 2.7328237530690305), ('buttondown', 2.7264090805686942), ('typically', 2.6937224222601346), ('androgynous', 2.6601832224471935), ('tall', 2.59215725928314), ('strive', 2.580840930549218), ('fortunate', 2.572297106612417), ('have', 2.555046895902082), ('confidence', 2.5446342868400538), ('hair', 2.4680792795194537), ('soft', 2.4385451025103255), ('hiking', 2.4298658542530287), ('exercise', 2.419588684166452), ('professional', 2.4035216497613345), ('enjoy', 2.395862263637601), ('lean', 2.383712627741617), ('short', 2.382209691432819), ('always', 2.3731710243320694), ('summer', 2.371481781827213), ('feet', 2.36034125766889), ('can', 2.360114270726943), ('height', 2.349621992884436), ('privilege', 2.3315716535153244), ('regular', 2.316618728526476), ('cheeks', 2.300656195324633), ('platinum', 2.300656195324633), ('opportunities', 2.300656195324633), ('persons', 2.2719675831279846), ('build', 2.270926511423004), ('refers', 2.2567665595343427), ('associated', 2.227258250461718), ('age', 2.1690637114220803), ('a', 2.160378135805665), ('or', 2.157355614965665), ('gender', 2.146355772727665), ('athletic', 2.146213596181722), ('in', 2.1453199096651545), ('ranges', 2.14137718640823), ('now', 2.1147408407538775), ('business', 2.1064892870509104), ('few', 2.1014775035841566), ('opting', 2.084281772415742), ('shade', 2.0661190568753534), ('time', 2.0659022765071295), ('friendly', 2.0474010390039665), ('important', 2.0469046042796277), ('male', 2.026307664128504), ('been', 2.022736966311752), ('silver', 2.0064064594057), ('on', 1.9815119309733251), ('bright', 1.9679074793136273)]"
a Black,,"[('african', 6.663392172299843), ('strength', 5.074447325327951), ('coiled', 4.76618292670443), ('tightly', 4.758329094594313), ('resilience', 4.613217130544949), ('afro', 4.392032432373914), ('rich', 4.335247206570158), ('of', 4.131049884302379), ('crown', 4.074871153060448), ('deep', 4.000490392287098), ('black', 3.822984962745037), ('dark', 3.7405882195441444), ('resonant', 3.203831323952162), ('symbol', 3.124211181950168), ('experiences', 3.0814412643456444), ('fertile', 3.059384665797005), ('grace', 3.0192949482273868), ('soil', 3.00848081908062), ('curls', 2.958978298830786), ('beautiful', 2.9281697536741946), ('wisdom', 2.9245598582851104), ('testament', 2.918982709354904), ('heritage', 2.895289576367568), ('voice', 2.825475209883926), ('ebony', 2.788088686948383), ('the', 2.7792683418203077), ('my', 2.740819627069339), ('dignity', 2.711319784436694), ('hope', 2.662300933975317), ('his', 2.6536395434085867), ('glows', 2.596021424797071), ('africa', 2.5697667921620533), ('ancestors', 2.5665247678470635), ('broad', 2.536937340435992), ('radiant', 2.4931378258573), ('unique', 2.4805605159137936), ('tight', 2.43047858290676), ('diaspora', 2.4180766401164195), ('kinky', 2.3656345459907118), ('beauty', 2.349399026201929), ('closecropped', 2.298964499591098), ('full', 2.2742276987477896), ('chocolate', 2.234463923185269), ('triumphs', 2.185281589969757), ('room', 2.1473500699556536), ('history', 2.1420354240096944), ('spirit', 2.1067101081196786), ('curly', 2.050006667907538), ('beacon', 2.0430027158474475), ('struggles', 2.0430027158474475), ('pain', 2.040547384431381), ('triumph', 2.033577083686916), ('braids', 1.9974138997444657), ('am', 1.996483210309024), ('closely', 1.963021760460371)]"
an Asian,,"[('asian', 9.67734216586542), ('almondshaped', 6.697204618276239), ('dark', 4.1760869782957215), ('straight', 4.154182063343369), ('black', 3.9904250877013347), ('heritage', 3.968036128366469), ('asia', 3.718005364132166), ('modern', 3.109245008194499), ('warm', 2.9603172028724978), ('rich', 2.9270784956483533), ('cultural', 2.8220486211988636), ('japan', 2.681879851511988), ('jetblack', 2.6645919522382053), ('silk', 2.5862319008116996), ('my', 2.5300552730851775), ('hanfu', 2.5008036506472284), ('roots', 2.3545783588977356), ('jet', 2.3273242620258143), ('respect', 2.2975223599111008), ('golden', 2.290905319105654), ('combed', 2.2722519939997157), ('tokyo', 2.236712603966848), ('korea', 2.236712603966848), ('continent', 2.224095659684888), ('almond', 2.186712467835079), ('back', 2.168177350223731), ('descent', 2.1362814972548363), ('feature', 2.1316675147056308), ('tone', 2.1302176989997346), ('ingrained', 2.116086320584407), ('traditions', 2.1033668368386658), ('neatly', 2.0908172711172632), ('subtle', 2.0806591438698794), ('inches', 2.068566258750171), ('wisdom', 2.0641856755857466), ('traditional', 2.0437402671777827), ('honor', 1.9864641200447264), ('humility', 1.9770242399306364), ('hold', 1.9614186726956537)]"
a Middle-Eastern,,"[('middle', 8.24917907104979), ('the', 8.207574278321243), ('east', 5.550178707685094), ('desert', 5.47726188451626), ('eastern', 5.393162234568874), ('middleeastern', 4.96798420309094), ('traditional', 4.938106129946378), ('ancient', 4.791487753852708), ('rich', 4.739224741783015), ('olive', 4.617153105244052), ('keffiyeh', 4.5746813316275805), ('thobe', 4.5746813316275805), ('thawb', 4.144399187124942), ('region', 4.102813864612927), ('dark', 4.075003148536051), ('long', 3.85427891834531), ('flowing', 3.851541894050644), ('thick', 3.6447805623469494), ('of', 3.6249715987498856), ('robe', 3.568148138241032), ('held', 3.5170575195050238), ('history', 3.3982349130326104), ('wisdom', 3.371595882033176), ('warm', 3.3569260311826534), ('dishdasha', 3.2579475368415975), ('heart', 3.252053678503919), ('rami', 3.2096523732279785), ('arabic', 3.160620970053098), ('headdress', 3.160620970053098), ('city', 3.131583239749626), ('agal', 3.1108185145601577), ('climate', 3.1001465422461623), ('beard', 2.9844192907778684), ('place', 2.9467278092874913), ('heritage', 2.9457094834434363), ('spices', 2.9453839183874124), ('bustling', 2.9453573785577056), ('hospitality', 2.923714181945983), ('tapestry', 2.9224268507501527), ('garment', 2.8698352753442857), ('prayer', 2.848803557620239), ('culture', 2.796626767902056), ('call', 2.717526111791896), ('symbol', 2.704319660840589), ('deep', 2.665830315849693), ('sun', 2.6311540994033678), ('damascus', 2.620431254537327), ('homeland', 2.5778612089464215), ('sunkissed', 2.561257060048674), ('head', 2.5560611419348214), ('intricate', 2.5462830842746222), ('regions', 2.538430912592442), ('by', 2.5241758719689287), ('black', 2.5128158577912827), ('night', 2.495848952821639), ('tradition', 2.483775119359133), ('wellgroomed', 2.479745742676469), ('known', 2.457012312507114), ('sands', 2.4351596113067053), ('cultural', 2.401477721364169), ('eyebrows', 2.395897974420095), ('lebanon', 2.370190672358624), ('traditions', 2.329081473847684), ('heat', 2.30339220789831), ('adorned', 2.2916853782111914), ('maturity', 2.287720303274829), ('modern', 2.2647495820118033), ('faith', 2.2540955570854626), ('bronze', 2.234038539473558), ('our', 2.2260192776313716), ('attire', 2.215150882183496), ('aroma', 2.2042245999502814), ('lands', 2.179480896784228), ('checked', 2.163624364298876), ('beirut', 2.163624364298876), ('cord', 2.163624364298876), ('covered', 2.090242396303868), ('syria', 2.090242396303868), ('where', 2.0578110012050264), ('garments', 2.0303302795707134), ('relentless', 2.014191279028704), ('saltandpepper', 2.014191279028704), ('born', 2.0129175865873568), ('in', 2.0015145712374283), ('fabric', 1.9645192655163943)]"
a Latino,,"[('latino', 9.186970212859343), ('latin', 7.66696008861871), ('spanish', 6.054492395962258), ('american', 5.749447026860361), ('heritage', 5.473657899839675), ('america', 5.337884360908263), ('vibrant', 5.018589276746034), ('rich', 4.5389417902172005), ('dark', 4.331118834034261), ('mexico', 3.8992992178886174), ('roots', 3.8670002764538403), ('music', 3.8248010406496), ('indigenous', 3.8188294167840455), ('warm', 3.8015698227525054), ('the', 3.4307110642735155), ('cultural', 3.4302966717068304), ('english', 3.356030493413656), ('passion', 3.303966158866372), ('language', 3.2065518694948154), ('colorful', 3.1941151210624987), ('community', 3.15470550248513), ('salsa', 3.1506661105846074), ('sunkissed', 3.058542765968045), ('bronze', 3.0569216145185587), ('our', 3.01984143783562), ('traditions', 2.9858931071695265), ('rhythm', 2.945785228773912), ('thick', 2.934865459837051), ('bilingual', 2.8398309841061455), ('portuguese', 2.7846603316605267), ('proud', 2.728428409033354), ('culture', 2.6950120506773474), ('ancestors', 2.5952489287123575), ('love', 2.5943063059968177), ('wavy', 2.541506039729521), ('guayabera', 2.4905728248997683), ('born', 2.471255388282504), ('central', 2.451965529095331), ('puerto', 2.4274900169329556), ('rico', 2.4274900169329556), ('beautiful', 2.426194191773256), ('raised', 2.4220155561007997), ('family', 2.3951624787172534), ('my', 2.3851785519512414), ('heart', 2.326005181523967), ('cuba', 2.2961376637797657), ('fluent', 2.2953500415221186), ('blend', 2.163958188478246), ('marisol', 2.156810062478646), ('welcoming', 2.153470222725384), ('of', 2.130852380728444), ('beats', 2.129885753329146), ('lands', 2.0975084715341126), ('rhythmic', 2.0839010715522988), ('mariachi', 2.0836592305645847), ('latinos', 2.0836592305645847), ('lively', 2.070549288252896), ('speak', 2.0314589332834463), ('alex', 2.0307114055722213), ('deep', 2.029261202978642), ('hola', 2.007847654308758), ('warmth', 1.9622399191335835), ('hailed', 1.9604722408328845)]"
,W,[]
,M,"[('his', 14.114992585021506), ('he', 11.404548959331077), ('man', 8.664595430019624), ('tall', 5.37287648264927), ('neatly', 4.865908603389868), ('beard', 4.697347820777386), ('has', 4.630687038619599), ('brown', 4.535036986334987), ('dark', 4.194942848703126), ('dressed', 4.111283479089683), ('wellgroomed', 4.022760668663643), ('a', 3.9976125276066927), ('can', 3.818347603933027), ('strong', 3.5537660673129805), ('shirt', 3.5432726664928493), ('combed', 3.467266642499458), ('crisp', 3.427817325718996), ('black', 3.425284665180415), ('from', 3.368127834101037), ('straight', 3.368014947215936), ('wisdom', 3.31816389727453), ('trimmed', 3.3076390323197233), ('broad', 3.2626866444547815), ('skin', 3.2252139403192874), ('stand', 3.1052381630736856), ('general', 3.0995152712766028), ('my', 3.0699422255464826), ('hands', 3.0617265459470473), ('hard', 3.043039023661127), ('thick', 3.0394909814714195), ('bronze', 3.0246086091206053), ('stands', 3.021310954751767), ('carries', 3.017546842428156), ('himself', 2.9349724784850904), ('eyes', 2.925622881646814), ('dignity', 2.89182593278764), ('casual', 2.8697335440221807), ('years', 2.818920298204784), ('buttondown', 2.7540795790245767), ('', 2.7533572762933862), ('range', 2.7300757613571087), ('color', 2.725566099665295), ('work', 2.6864274865784212), ('build', 2.6619178610830256), ('testament', 2.658230442723223), ('him', 2.6357184187330964), ('jawline', 2.629739882371745), ('result', 2.627801633352658), ('spent', 2.568813802024966), ('on', 2.548973029947575), ('thawb', 2.5435509308367905), ('family', 2.520127871917412), ('friendly', 2.512856458871747), ('provide', 2.4693661050232), ('strands', 2.4281591057309093), ('dedication', 2.4185665074088645), ('description', 2.3897307371012304), ('symbol', 2.3516595490317407), ('by', 2.348018842456198), ('feet', 2.3287958567434157), ('posture', 2.3192152903139314), ('robe', 2.2748594754446496), ('is', 2.2653006918365537), ('maturity', 2.24802860018831), ('demeanor', 2.226344541013445), ('kindness', 2.226073358512298), ('lifestyle', 2.2257223306878138), ('with', 2.2255037508306805), ('head', 2.2139056236792576), ('vary', 2.211810476500234), ('men', 2.2117633667817787), ('mustache', 2.2017880519200275), ('however', 2.188815923920987), ('cleanshaven', 2.158229737370168), ('back', 2.1547516862288805), ('respect', 2.1497289694338457), ('calloused', 2.1381950353324766), ('hours', 2.1350051741426097), ('muscular', 2.1125125561515943), ('hair', 2.1091590673416807), ('keffiyeh', 2.0989529252869095), ('speaks', 2.09486273617166), ('blond', 2.087712011135898), ('countless', 2.069581528770083), ('professional', 2.0555533504455163), ('tightly', 2.0466207471165507), ('origin', 2.0291753112336712), ('deep', 2.0190797883904033), ('distinguished', 2.0158309932027554), ('agal', 2.0158309932027554), ('green', 2.011024076407403), ('eyebrows', 2.005862727517882), ('coiled', 2.0001753023847972), ('warm', 1.9736615969347084), ('chocolate', 1.9699461326874086), ('standing', 1.9686497366610791), ('lean', 1.960967736671549)]"
,N,"[('their', 16.29812051976385), ('they', 13.604129464747505), ('nonbinary', 11.276002123732614), ('person', 9.661063301036355), ('gender', 9.546139890316729), ('identity', 9.520734056807653), ('norms', 7.136425393295391), ('pronouns', 6.658067907043121), ('express', 6.504986257564986), ('female', 6.340800094625946), ('masculine', 5.900429493510446), ('binary', 5.873504438955016), ('theythem', 5.873504438955016), ('feminine', 5.846456192343878), ('neither', 5.229323791433732), ('identify', 5.1304512177901955), ('who', 5.073703117004013), ('beautiful', 5.036041498648098), ('societal', 5.034910715747704), ('male', 4.9552330495842565), ('nor', 4.917635446596575), ('prefer', 4.907159336559823), ('unique', 4.900325842577659), ('elements', 4.871513649994262), ('use', 4.843313368563659), ('authentic', 4.801742912993993), ('themselves', 4.785156639465174), ('fluidity', 4.772333650829575), ('androgynous', 4.772333650829575), ('genderneutral', 4.772333650829575), ('not', 4.736720703840664), ('feel', 4.665005898615784), ('blend', 4.662076005235422), ('way', 4.62447855878035), ('ways', 4.610239906258703), ('identifies', 4.555376665410266), ('style', 4.3784631386802415), ('as', 4.275271496233779), ('myself', 4.146326899568262), ('clothing', 4.126683896721743), ('exclusively', 4.10891858532641), ('feels', 4.093936799308523), ('traditionally', 4.015890195554032), ('do', 4.011192900700945), ('most', 3.972113637357889), ('defies', 3.9116591631550883), ('expectations', 3.8329156715276387), ('traditional', 3.760230497005085), ('beyond', 3.728465438279246), ('fashion', 3.673206938501647), ('embracing', 3.5870604982942504), ('conform', 3.5562413107070663), ('vibrant', 3.4630629212287656), ('woman', 3.3841550138700893), ('exists', 3.3736464193010005), ('styles', 3.3565280736853924), ('embrace', 3.337684450139503), ('inclusivity', 3.2895572222695852), ('strictly', 3.229948503772831), ('rami', 3.229948503772831), ('soft', 3.195887471846297), ('advocating', 3.1921869463517485), ('true', 3.164739107881799), ('choose', 3.1116446177553847), ('labels', 3.0795663887612634), ('fluid', 3.0609620164112443), ('wardrobe', 3.052149310641887), ('means', 3.0403584636350036), ('them', 3.032225149759984), ('transcends', 3.027782777898208), ('confines', 2.9750995545799497), ('instead', 2.9569258734053907), ('advocate', 2.9218168793872743), ('have', 2.9138028767643966), ('individual', 2.9037067107093772), ('individuality', 2.9024322067985326), ('selfexpression', 2.880644537633471), ('authentically', 2.866835046518798), ('compassionate', 2.7763082218101673), ('present', 2.7611104887060116), ('birth', 2.743773492742417), ('both', 2.7307658335006386), ('makeup', 2.7194099375829976), ('assigned', 2.6963127468138723), ('modern', 2.669835020238793), ('i', 2.6668819115554454), ('dont', 2.653842844427778), ('bold', 2.6401369493437348), ('cascade', 2.637026288157787), ('using', 2.624760712620325), ('freedom', 2.600613916933088), ('identities', 2.600613916933088), ('loosefitting', 2.592900508411495), ('child', 2.5763777401920005), ('patterns', 2.5762649255803916), ('challenging', 2.572591264059042), ('accessories', 2.561242668538919), ('neutral', 2.5232169438059304), ('tapestry', 2.5038490738628174), ('outside', 2.499033991139226), ('mix', 2.48147615995971), ('expressing', 2.4629560857115402), ('contemporary', 2.439368238493492), ('may', 2.437856525185669), ('named', 2.432691354729557), ('expression', 2.414532544623808), ('passionate', 2.396467006274574), ('categories', 2.385209111084303), ('rather', 2.385209111084303), ('move', 2.3516297930281573), ('self', 2.342888171986491), ('embraces', 2.338179914660221), ('acceptance', 2.338179914660221), ('marginalized', 2.338179914660221), ('alex', 2.317989369208706), ('rights', 2.317989369208706), ('authenticity', 2.317989369208706), ('heart', 2.3128058509102254), ('american', 2.3093236786836937), ('blending', 2.3037253690301838), ('adorn', 2.276458808297092), ('that', 2.258289995269038), ('comfortable', 2.2519203150187224), ('confined', 2.2487632881728663), ('platinum', 2.2487632881728663), ('boundaries', 2.2487632881728663), ('radiant', 2.202094261637912), ('perspective', 2.1958401440844613), ('me', 2.1904102985150034), ('jewelry', 2.1773395083646), ('marisol', 2.1773395083646), ('lives', 2.1641820083175674), ('colors', 2.1417105182954557), ('lebanon', 2.1276640506767373), ('world', 2.118638795808201), ('understanding', 2.1084104194467392), ('navigate', 2.108277800747138), ('conventional', 2.103494174176889), ('for', 2.083478399590315), ('curiosity', 2.060712929493587), ('am', 2.0583979363795395), ('beirut', 2.058321495843355), ('freely', 2.058321495843355), ('bustling', 2.0524692835038736), ('lgbtq', 2.026962640071028), ('empathy', 2.022907774692697), ('mixing', 2.0156744565006055), ('choosing', 2.006609835899462), ('enjoy', 1.9931054263993586), ('such', 1.9908490554311196), ('challenge', 1.979992528373359), ('own', 1.964762985338095)]"
a White,W,[]
a White,M,"[('blue', 8.679053619018013), ('fair', 7.416416701967798), ('tall', 6.727198171561874), ('blond', 5.926147696158669), ('shirt', 5.797133994165858), ('european', 5.735193136777232), ('green', 5.462245655352381), ('ive', 5.252954262892304), ('casual', 5.171167667306521), ('a', 5.11141048443669), ('white', 5.068668602269272), ('stand', 5.064767726267174), ('', 4.983923140137174), ('color', 4.8735611325003045), ('caucasian', 4.677279586810132), ('light', 4.67629641088383), ('professional', 4.504718704846286), ('at', 4.4497666411384795), ('business', 4.3677471236983365), ('lightcolored', 4.346079481526594), ('gray', 4.322901253098717), ('jeans', 4.230865037845058), ('ranges', 4.219683002463771)]"
