race,gender,top_ten_words
a White,,"[('blue', 6.867439308468142), ('blonde', 5.1685437040366145), ('light', 5.1080213318712815), ('green', 4.83108830197119), ('fair', 4.749255715962905), ('pale', 4.704058294594667), ('color', 4.566401069085893), ('red', 4.532009575485978)]"
a Black,,"[('african', 5.422120173932313), ('coiled', 4.971022065712597), ('tightly', 4.3930508025217145), ('ebony', 4.3120360631774854), ('rich', 4.175482149990077), ('strength', 4.034197247712299), ('resilience', 3.696320565641984), ('deep', 3.561983828495519), ('dark', 3.2304163028382646)]"
an Asian,,"[('almondshaped', 6.3647346539716665), ('dark', 4.227889677396447), ('heritage', 3.334899561459102), ('an', 2.8119675884055986), ('modern', 2.776405057965212), ('almond', 2.7742570300238323)]"
a Middle-Eastern,,"[('desert', 5.302117174675658), ('dark', 5.013385217763991), ('thick', 4.497557325469344), ('olive', 4.43871257460381), ('thobe', 4.364130275056357), ('region', 4.153705002070287)]"
a Latino,,"[('spanish', 5.096109189822388), ('heritage', 4.78747654934383), ('dark', 4.168722552487957), ('american', 4.1272774489065505), ('vibrant', 4.074371870228694), ('america', 4.03039687321241), ('rich', 3.839550201090381), ('roots', 3.573244855710633)]"
,W,[]
,M,"[('brown', 5.171147185166344), ('beard', 4.49604234619271), ('build', 3.7873164453464176), ('thick', 3.6964697379819524), ('dark', 3.689540946591468), ('a', 3.6737566934187735), ('facial', 3.5904879717167506)]"
,N,"[('gender', 11.709124717415474), ('identity', 9.302084884568313), ('female', 8.421102022363728), ('male', 8.08511147826007), ('norms', 7.7371413203202595), ('person', 7.357944472626898), ('binary', 7.069336842767349)]"
a White,W,[]
a White,M,"[('blue', 9.322535698536427), ('light', 7.122811258001901), ('green', 6.878443096298183), ('red', 6.818400352904483), ('blonde', 6.486815836683551), ('blond', 5.8507885922946805), ('hazel', 5.126364878824601), ('height', 4.965912725952668)]"
a White,N,[]
a Black,W,"[('coiled', 5.402946607784621)]"
a Black,M,[]
a Black,N,"[('african', 6.081654233298737), ('braids', 4.187939921905773)]"
an Asian,W,"[('almondshaped', 5.895666809820916)]"
an Asian,M,[]
an Asian,N,[]
a Middle-Eastern,W,"[('traditional', 4.7734208826354)]"
a Middle-Eastern,M,"[('traditional', 4.391380264032177)]"
a Middle-Eastern,N,"[('desert', 5.401001683316002)]"
a Latino,W,"[('spanish', 5.447323451760247), ('salsa', 4.3930153095016395)]"
a Latino,M,[]
a Latino,N,"[('vibrant', 6.482250900304522), ('heritage', 5.799522983741376), ('spanish', 5.444618431384083), ('roots', 4.908539850318777), ('american', 4.825202362657965), ('latinx', 4.64173496015107), ('colorful', 4.490911376394564)]"
