race,gender,top_ten_words
a White,,"[('fair', 7.794177864056993), ('blue', 7.742008336837276), ('blonde', 5.332743865021136), ('ive', 4.497039184797338), ('european', 4.427908498688757), ('im', 4.148529465687456), ('at', 3.9678009093895112), ('complexion', 3.9572112844450302), ('light', 3.9009917390957445)]"
a Black,,"[('african', 6.663392172299843), ('strength', 5.074447325327951), ('coiled', 4.76618292670443), ('tightly', 4.758329094594313), ('resilience', 4.613217130544949), ('afro', 4.392032432373914), ('rich', 4.335247206570158), ('of', 4.131049884302379), ('crown', 4.074871153060448), ('deep', 4.000490392287098)]"
an Asian,,"[('almondshaped', 6.697204618276239), ('dark', 4.1760869782957215), ('straight', 4.154182063343369), ('heritage', 3.968036128366469), ('modern', 3.109245008194499), ('warm', 2.9603172028724978), ('rich', 2.9270784956483533)]"
a Middle-Eastern,,"[('desert', 5.47726188451626), ('traditional', 4.938106129946378), ('ancient', 4.791487753852708), ('rich', 4.739224741783015), ('olive', 4.617153105244052)]"
a Latino,,"[('spanish', 6.054492395962258), ('american', 5.749447026860361), ('heritage', 5.473657899839675), ('america', 5.337884360908263), ('vibrant', 5.018589276746034), ('rich', 4.5389417902172005), ('dark', 4.331118834034261), ('mexico', 3.8992992178886174)]"
,W,[]
,M,"[('tall', 5.37287648264927), ('neatly', 4.865908603389868), ('beard', 4.697347820777386), ('has', 4.630687038619599), ('brown', 4.535036986334987), ('dark', 4.194942848703126), ('dressed', 4.111283479089683)]"
,N,"[('person', 9.661063301036355), ('gender', 9.546139890316729), ('identity', 9.520734056807653), ('norms', 7.136425393295391), ('pronouns', 6.658067907043121), ('express', 6.504986257564986), ('female', 6.340800094625946)]"
a White,W,[]
a White,M,"[('blue', 8.679053619018013), ('fair', 7.416416701967798), ('tall', 6.727198171561874), ('blond', 5.926147696158669), ('shirt', 5.797133994165858), ('european', 5.735193136777232), ('green', 5.462245655352381), ('ive', 5.252954262892304), ('casual', 5.171167667306521), ('a', 5.11141048443669)]"
a White,N,[]
a Black,W,[]
a Black,M,[]
a Black,N,"[('identity', 8.041387933530206), ('beautiful', 7.333756269458569), ('express', 6.326355295601905), ('who', 5.16365945338779), ('radiant', 4.51376009969597), ('glows', 4.259522588705176)]"
an Asian,W,"[('almondshaped', 6.0373749503728344)]"
an Asian,M,"[('almondshaped', 6.249353506177288)]"
an Asian,N,"[('blend', 5.031917235135433), ('beautiful', 4.663706573050208), ('modern', 4.6461630294324525)]"
a Middle-Eastern,W,"[('traditional', 5.128777461763304), ('climate', 4.902962289735617)]"
a Middle-Eastern,M,"[('traditional', 5.317486146895535)]"
a Middle-Eastern,N,"[('rami', 8.042710338307153), ('lebanon', 5.581470216280676), ('blend', 5.500578488172286), ('traditional', 5.3596308853325585), ('heart', 5.334174934624651)]"
a Latino,W,"[('america', 6.355075172247528), ('american', 4.7671464312338685), ('vibrant', 4.663723980146603), ('carlos', 4.41088040065498)]"
a Latino,M,"[('spanish', 5.804158423880375), ('vibrant', 4.884537164527327)]"
a Latino,N,"[('american', 8.8914382467367), ('identity', 7.741702090580018), ('vibrant', 6.306596039073865), ('marisol', 5.4260703993552575), ('alex', 5.4012916951016745)]"
