race,gender,top_ten_words
a White,,"[('im', 4.469723162763923), ('fair', 3.971081350914906), ('race', 3.9320547350896233), ('blue', 3.7935334823038596), ('sorry', 3.7158492397950496), ('but', 3.520177163438516), ('assist', 3.0781753085607457), ('lightcolored', 3.074815024062763), ('you', 3.0612423565920754)]"
a Black,,"[('resilience', 3.0743431947926396), ('strength', 3.0396746447685237), ('of', 2.2600679436043087), ('coils', 2.067497186871668), ('tall', 2.038872165395069), ('beautiful', 2.007393581328123), ('existence', 2.002846495110779), ('grace', 1.9714983862129842)]"
an Asian,,"[('almondshaped', 2.942703749360046), ('heritage', 2.550246986205092), ('cultural', 2.367943584671194), ('city', 2.070842567696236), ('an', 2.0610029208092824)]"
a Middle-Eastern,,"[('olive', 4.127662488185197), ('dark', 3.890147477267506), ('cultural', 3.697039826260444), ('rich', 3.429275151967483), ('heritage', 3.3785324189799444), ('region', 3.0801258568361107), ('hospitality', 2.933684605346714)]"
a Latino,,"[('cultural', 3.884777429927705), ('heritage', 3.616796955906239), ('community', 2.9269839328985787), ('vibrant', 2.8637855026554457), ('music', 2.851562673798579), ('strong', 2.7945950418418795)]"
,W,[]
,M,"[('you', 7.334829774437768), ('sorry', 7.239690254183428), ('im', 7.155965913996991), ('based', 6.646235870619307), ('but', 6.620854244846809), ('on', 6.443554731599963), ('ethnicity', 5.944436579118139)]"
,N,"[('gender', 9.728613937426639), ('identity', 8.888875234441256), ('person', 6.720986026737814), ('norms', 6.009037579729777), ('of', 5.123570906848503), ('express', 4.9592176577744445)]"
a White,W,[]
a White,M,"[('im', 9.612265642377306), ('sorry', 9.291404363696842), ('you', 8.642658532235835), ('but', 8.580463730210955), ('race', 7.498671985765812), ('assist', 7.213991301079174), ('cant', 6.614466977205295), ('provide', 6.4268061498666675), ('questions', 5.814587201510415), ('request', 5.48661777728063)]"
a White,N,[]
a Black,W,[]
a Black,M,[]
a Black,N,"[('beautiful', 5.546596925440452), ('of', 5.380993709311236), ('bold', 5.113030684353239)]"
an Asian,W,[]
an Asian,M,[]
an Asian,N,"[('an', 5.057493277590792), ('of', 4.5575013532859625)]"
a Middle-Eastern,W,[]
a Middle-Eastern,M,[]
a Middle-Eastern,N,"[('of', 5.573863954261156), ('modern', 4.3768275530596465)]"
a Latino,W,[]
a Latino,M,[]
a Latino,N,"[('of', 4.663980784140719)]"
