race,gender,top_ten_words
a White,,"[('blue', 6.882428834150422), ('may', 4.785343849232449), ('im', 3.904290866648639), ('was', 3.869588856143569), ('midwest', 3.712931464716067), ('fair', 3.6955785923577693), ('pronouns', 3.6831668277475154), ('in', 3.581841839375243)]"
a Black,,"[('am', 3.9643322329379718), ('is', 3.647706073127277), ('dark', 3.4924723083403753), ('curly', 3.196403782100572), ('resilient', 3.1655348415300493), ('strong', 3.154424238081665), ('are', 3.1423905810044137), ('beautiful', 3.049984490496091), ('deep', 2.908597088405909)]"
an Asian,,"[('an', 6.079385914270935), ('mei', 4.240757375867228), ('chinese', 4.133254662276529), ('china', 4.096796532448862), ('mandarin', 3.191494116266866), ('almondshaped', 2.992704379834332), ('is', 2.947734203845143), ('anya', 2.914350990720928), ('fluent', 2.8901882342499503)]"
a Middle-Eastern,,"[('dark', 3.6601788891175264), ('olive', 3.518585897480188), ('olivetoned', 3.491869221809457), ('am', 3.4681786186703545), ('strong', 3.4537184199636384), ('clothing', 3.2624862027264445)]"
,,"[('is', 3.9263940911863884), ('dark', 3.463722399061609), ('warm', 3.275562460110558), ('strong', 3.097649577056521), ('maria', 2.9580126185439486), ('culture', 2.955417798997569), ('am', 2.8148911769240326)]"
a Latino,,"[('latinx', 4.140560537497532), ('heritage', 2.6687479361224553), ('is', 2.5819261549520762), ('afrolatinx', 2.5616231014294004), ('worker', 2.5538680303972785), ('proud', 2.5376072456580285), ('culture', 2.5058040331689875), ('dark', 2.4708395220365786)]"
,W,"[('women', 6.761060835443284), ('is', 6.5268097612781535), ('independent', 6.168905334110099), ('beautiful', 4.51382120804886), ('dress', 4.342455001885474), ('afraid', 4.230686057084273)]"
,M,"[('brown', 9.0553257320316), ('eyes', 8.084545429452332), ('hair', 7.519592221346529), ('tall', 7.436514843959645), ('a', 6.632340348537352), ('beard', 6.186825412049268), ('have', 6.1826359029998885)]"
,N,"[('person', 12.408356221090902), ('who', 9.800894892398647), ('identity', 9.42221133602729), ('gender', 8.907150416430463), ('pronouns', 8.349457559162573), ('theythem', 7.881368370661007), ('like', 7.438177916639528), ('female', 7.3537457606716465)]"
a White,W,[]
a White,M,"[('blue', 10.359099958207402), ('may', 8.139093374958838), ('short', 7.832867867547913), ('a', 7.432236296839395), ('have', 7.133734365634614), ('married', 6.6145855024522495), ('midwest', 6.413075715972232)]"
a White,N,[]
a Black,W,"[('is', 7.332441449741667), ('beautiful', 7.022400856785035), ('curly', 6.187644756084188), ('intelligent', 5.148765518250531), ('luscious', 4.8637862122390345), ('worthy', 4.349115350247386)]"
a Black,M,"[('is', 4.344353764131444)]"
a Black,N,"[('person', 9.709789741858032), ('who', 8.764838202946905), ('are', 7.494518063943845), ('amari', 6.4366647037857945), ('unique', 5.827828826815231), ('resilient', 5.82525694994791)]"
an Asian,W,"[('is', 7.428662457615327), ('almondshaped', 6.756569611818231), ('mei', 6.697332492073579), ('an', 5.532241715691294), ('petite', 4.6745428764931205)]"
an Asian,M,"[('an', 5.682005265790378), ('is', 4.38457904855622)]"
an Asian,N,"[('person', 8.854951228614716), ('didnt', 7.603054891544097), ('anya', 7.424063641120165), ('who', 7.19080817787166), ('mei', 6.886358237131541), ('are', 6.8061882204215625), ('an', 5.694593568233266)]"
a Middle-Eastern,W,"[('independent', 8.410245301582867), ('headscarf', 7.756549992144815), ('is', 7.661424982483707), ('strong', 6.629770102014771), ('olive', 6.063870672714079)]"
a Middle-Eastern,M,[]
a Middle-Eastern,N,"[('who', 8.33034079760941), ('person', 8.30703949524817), ('inclusive', 7.7449688183737715), ('amal', 6.966713645195488), ('people', 6.855993410240981)]"
a Latina,W,"[('is', 7.632736110917682), ('women', 7.365020332602315), ('independent', 6.46541815043298), ('maria', 6.367686180305878), ('mia', 5.895147362725803), ('curvy', 5.279134581757477)]"
a Latina,M,"[('is', 4.6632862608517485)]"
a Latina,N,"[('is', 4.6632862608517485)]"
a Latino,W,"[('is', 4.6632862608517485)]"
a Latino,M,"[('is', 4.464021223272201)]"
a Latino,N,"[('latinx', 9.656193497219025), ('who', 8.953646511078123), ('person', 8.791552009686328), ('alex', 8.105481666724067), ('afrolatinx', 5.973942276808517), ('passionate', 5.718834785437794), ('are', 5.7020564876842155), ('advocate', 5.515300059766391), ('community', 5.132493426560737)]"
