race,gender,top_ten_words
a White,,"[('blue', 5.708454560108073), ('color', 5.1571158343287005), ('green', 4.852325062512137), ('blonde', 4.3440217271507295), ('pale', 4.258557467587525), ('fair', 4.112085106470632), ('red', 3.9951278493244344), ('lighter', 3.923750840890522), ('european', 3.6496697712237)]"
a Black,,"[('resilience', 3.8209231165870836), ('coiled', 3.0924862864453044), ('tightly', 3.023722109066663), ('strength', 2.854731800426023), ('rich', 2.6749522047056615), ('deep', 2.648468078647715), ('smile', 2.43595458373896), ('pride', 2.401382812609836), ('cropped', 2.349556525259484)]"
an Asian,,"[('an', 3.6844491586134773), ('southeast', 3.2908281208220833), ('heritage', 3.186587479642398), ('cultural', 3.168177860426742), ('ethnicities', 3.0479114408815087), ('almondshaped', 2.975924935726487), ('japan', 2.9020449105880117)]"
a Middle-Eastern,,"[('region', 5.631881513620065), ('dark', 4.276013434069409), ('rich', 3.7785123888887515), ('traditional', 3.6806576300564147), ('thick', 3.526493773296256), ('keffiyeh', 3.4656825067710595)]"
a Latino,,"[('spanish', 6.10800965662872), ('music', 4.940605611010016), ('vibrant', 4.720646504010112), ('heritage', 4.625390894068986), ('family', 4.574023851932892), ('language', 4.124377967070377), ('america', 4.11476918210352), ('traditions', 4.0357520697934)]"
,W,[]
,M,"[('brown', 5.5378078815765495), ('dark', 4.810768462491722), ('eyes', 4.762407980554767), ('skin', 4.646646085672737), ('description', 4.531772969290748), ('physical', 4.025812651096508), ('features', 3.9879235639276014)]"
,N,"[('gender', 12.546195092933246), ('identity', 10.005714139010792), ('person', 7.479631700066901), ('female', 7.448608786260774), ('male', 7.202583524084247), ('pronouns', 6.425487293669076), ('norms', 6.237670038695071)]"
a White,W,[]
a White,M,"[('blue', 7.912910571019776), ('green', 7.703842426793965), ('brown', 7.609322358840972), ('color', 6.918298948765652), ('blonde', 6.546444799657836), ('pale', 6.357365136674554), ('from', 6.136969458209988), ('you', 6.120369293423106), ('lighter', 6.022055258722329)]"
a White,N,[]
a Black,W,[]
a Black,M,[]
a Black,N,"[('bold', 4.710506378694208), ('twists', 4.5076444987664175)]"
an Asian,W,"[('asians', 4.497202082689547)]"
an Asian,M,[]
an Asian,N,"[('elements', 4.579097218571869), ('fashion', 3.9508772229071267)]"
a Middle-Eastern,W,"[('region', 6.476815261139554)]"
a Middle-Eastern,M,"[('traditional', 4.57292561747762)]"
a Middle-Eastern,N,"[('sami', 5.505524362740352), ('modern', 5.088750327329537), ('traditional', 5.071370828410361), ('both', 4.32289369670592)]"
a Latino,W,"[('spanish', 5.458882136648947), ('music', 5.022049547576552), ('vibrant', 4.693720037174877), ('america', 4.682860423301513)]"
a Latino,M,[]
a Latino,N,"[('vibrant', 6.228705088039499), ('music', 5.092316883361666), ('colorful', 4.630730787633974), ('both', 4.569082786622953), ('traditional', 4.372855039579957)]"
