race,gender,top_ten_words
a White,,"[('blue', 8.201514350063078), ('color', 6.3170105739333815), ('ive', 5.928900232947955), ('light', 5.192774485129697), ('blond', 4.962597527477815), ('fair', 4.793033167071459), ('freckles', 4.670590586760713), ('bright', 4.621590105936903)]"
a Black,,"[('rich', 5.2302927891877475), ('african', 5.142760904504698), ('tightly', 5.122803716577527), ('coiled', 4.93160244094644), ('deep', 4.839994728075355), ('dark', 3.9760612676780416), ('resilience', 3.952389926486363)]"
an Asian,,"[('golden', 3.9998394045823282), ('heritage', 3.597576170754788), ('dark', 3.275766822273938), ('almondshaped', 3.24149956840118), ('warm', 3.149227996967337), ('many', 3.03492148141754), ('deep', 2.874824161321155)]"
a Middle-Eastern,,"[('dark', 5.444852160225769), ('amir', 5.099566936820319), ('region', 5.093344823375625), ('am', 4.959107730603148), ('wisdom', 4.653976179797857), ('desert', 4.4967883601697345)]"
a Latino,,"[('hola', 5.2626860146871595), ('carlos', 4.4775462817748215), ('heritage', 4.393884881087086), ('cultural', 4.208512527398502), ('puerto', 4.145123108875188), ('sparkle', 4.103153819354057), ('dark', 4.085822354088235), ('rich', 3.9698502144978054)]"
,W,[]
,M,"[('strong', 5.855739735526576), ('prominent', 5.317234207136917), ('straight', 4.674450823446609), ('slightly', 4.600793544024614), ('tone', 4.432087831808619), ('jawline', 4.0754331299400715)]"
,N,"[('gender', 9.784251952473504), ('person', 6.963862939909065), ('identify', 6.823822396372871), ('traditional', 6.4930198891247715), ('falls', 6.360690152046849), ('identity', 6.350023298268375), ('style', 6.276332319829858)]"
a White,W,[]
a White,M,"[('blue', 8.908734159115541), ('fair', 7.994657289581299), ('medium', 7.0389434406245925), ('straight', 6.771252016174017), ('color', 6.541647999116817), ('ive', 6.461962687521746), ('jawline', 6.382089584473325), ('slightly', 6.079063793046167), ('short', 5.995740681774353)]"
a White,N,[]
a Black,W,[]
a Black,M,[]
a Black,N,"[('zephyr', 6.759103599682074), ('radiant', 6.042660906208749), ('bold', 6.0334727961576515), ('beautiful', 5.2438092847867965), ('vibrant', 5.134281766900415), ('braids', 5.026545523482898), ('both', 4.878097117468882), ('curls', 4.778811833427958), ('glad', 4.759453638546036)]"
an Asian,W,[]
an Asian,M,[]
an Asian,N,"[('jae', 6.451431541090428), ('korean', 6.15070557474326), ('blend', 5.540152241079548), ('theythem', 5.337359639894255), ('chinese', 4.500052665233737)]"
a Middle-Eastern,W,[]
a Middle-Eastern,M,[]
a Middle-Eastern,N,"[('amirah', 9.55778421263098), ('amirs', 6.608579855187747), ('waves', 5.981510519598485), ('persian', 5.972839738454667), ('amir', 5.679142554436846), ('iran', 5.414376495302388), ('meet', 4.984613606965345), ('amirahs', 4.880378104980732)]"
a Latino,W,[]
a Latino,M,[]
a Latino,N,"[('latinx', 9.617868436505923), ('jamie', 6.985670933504471), ('vibrant', 6.767178851521937), ('jamies', 6.400186973399986), ('american', 6.3648301976861745), ('alex', 6.113086301404628), ('fusion', 6.036368393600817), ('waves', 5.965384788270256), ('beautiful', 5.64524534050028)]"
