race,gender,mw_captured_words
a White,,"[('white', 8.325470490004157), ('blue', 5.708454560108073), ('color', 5.1571158343287005), ('green', 4.852325062512137), ('blonde', 4.3440217271507295), ('pale', 4.258557467587525), ('fair', 4.112085106470632), ('red', 3.9951278493244344), ('lighter', 3.923750840890522), ('european', 3.6496697712237), ('or', 3.611416811047548), ('to', 3.5087135293562115), ('you', 3.4617543527819623), ('racial', 3.4588402101086317), ('eye', 3.3119415243908517), ('hazel', 3.278816997774409), ('can', 3.239045410861007), ('im', 3.1761916979061198), ('race', 3.1548835686527363), ('blond', 3.1508903564032726), ('ive', 3.1389790305403733), ('how', 2.9859073543918524), ('vary', 2.9817578826977376), ('gray', 2.975846066334331), ('brown', 2.9179562749922687), ('light', 2.8639445251798823), ('characteristics', 2.6587367871997585), ('assist', 2.6540467184922956), ('town', 2.6056098068606186), ('from', 2.5743619177353634), ('generally', 2.5251973552371023), ('hiking', 2.5074529561964947), ('height', 2.507362639956014), ('any', 2.5046465570719074), ('typically', 2.503961208194584), ('ranging', 2.4931815058638733), ('widely', 2.3744209926736817), ('privileges', 2.363669971116411), ('gender', 2.332899579524305), ('me', 2.317496623589621), ('build', 2.2948003813289173), ('freckles', 2.2885946437909213), ('tones', 2.2416238692542936), ('ranges', 2.214599125308452), ('information', 2.2130173670119855), ('not', 2.1846075742990534), ('shades', 2.17429476837914), ('provide', 2.16038178904888), ('questions', 2.155526629009282), ('straight', 2.083957259021824), ('other', 2.0741326102203614), ('europe', 2.046930392645414), ('sun', 2.0356579445324643), ('who', 2.028305033823748), ('could', 2.0246166035928694), ('experiences', 1.994976614482704), ('aware', 1.9884078337649014), ('categories', 1.9878041208256458), ('be', 1.9688354064075562)]"
a Black,,"[('black', 5.029528255993806), ('resilience', 3.8209231165870836), ('coiled', 3.0924862864453044), ('tightly', 3.023722109066663), ('strength', 2.854731800426023), ('rich', 2.6749522047056615), ('deep', 2.648468078647715), ('smile', 2.43595458373896), ('pride', 2.401382812609836), ('cropped', 2.349556525259484), ('jazz', 2.3276851822588434), ('story', 2.300385925335144), ('twists', 2.2458461061136568), ('their', 2.1860242329727186), ('character', 2.159837486687988), ('confident', 2.1156332467140753), ('carry', 2.0852149321660223), ('curls', 2.076904871043609), ('closely', 2.0626920771761488), ('achievements', 2.033656134191388)]"
an Asian,,"[('asian', 9.728012034787426), ('asia', 6.800342217697526), ('continent', 4.144942137851888), ('an', 3.6844491586134773), ('southeast', 3.2908281208220833), ('heritage', 3.186587479642398), ('cultural', 3.168177860426742), ('ethnicities', 3.0479114408815087), ('almondshaped', 2.975924935726487), ('japan', 2.9020449105880117), ('south', 2.901974604906711), ('korea', 2.8497278789706155), ('india', 2.6866823176763788), ('modern', 2.675037092670905), ('china', 2.63009242201672), ('dark', 2.6262802690290803), ('cultures', 2.552936395141481), ('jun', 2.2610487592497974), ('vast', 2.258727407290901), ('rich', 2.2036002785793274), ('asians', 2.14969973897482), ('vietnam', 2.1238502347908765), ('traditions', 2.0807967570176396), ('korean', 2.0518172335083587), ('thailand', 2.0518172335083587), ('glasses', 2.051072813063124), ('software', 2.033681436763729), ('contemporary', 1.9633074390968597)]"
a Middle-Eastern,,"[('middleeastern', 8.021542822954864), ('middle', 6.558515023510813), ('the', 5.7610429879807885), ('region', 5.631881513620065), ('east', 5.347665167476631), ('dark', 4.276013434069409), ('rich', 3.7785123888887515), ('traditional', 3.6806576300564147), ('thick', 3.526493773296256), ('keffiyeh', 3.4656825067710595), ('thobe', 3.4656825067710595), ('ancient', 3.3614367071184232), ('modern', 3.3593150000905303), ('arabic', 3.336398237478622), ('attire', 3.119374492386462), ('countries', 3.1079470927611523), ('olive', 3.1075312032040836), ('robe', 3.0615372834972074), ('cultural', 2.993521804416431), ('beard', 2.9746625118749446), ('prayer', 2.9144244536828774), ('wear', 2.8915127355764096), ('bustling', 2.824877585603851), ('of', 2.7875826945847346), ('darker', 2.6531462259558394), ('turkish', 2.6511938953787677), ('westernstyle', 2.6145077103403604), ('lebanon', 2.5953516022336833), ('amir', 2.5953516022336833), ('spices', 2.5909998575236535), ('heritage', 2.577650821214824), ('eastern', 2.5361186782797245), ('garments', 2.5351566848267644), ('languages', 2.4978708658873923), ('iran', 2.486778574652053), ('strong', 2.478397240849938), ('call', 2.4529803305263136), ('paired', 2.445677130913812), ('long', 2.411581510216907), ('saudi', 2.366818554899526), ('arabia', 2.366818554899526), ('warm', 2.3494673061828255), ('scarf', 2.3415708973796456), ('worn', 2.3282559099991436), ('dishdasha', 2.295887503237735), ('persian', 2.295887503237735), ('beirut', 2.295887503237735), ('intricate', 2.288937838750933), ('flowing', 2.2778624013145388), ('cultures', 2.2482012705538805), ('thawb', 2.231183173104454), ('eyebrows', 2.20432180663447), ('headscarf', 2.16454774747364), ('sami', 2.16454774747364), ('culture', 2.150035009873459), ('turkey', 2.1465683512138503), ('hospitality', 2.119984024514483), ('embroidered', 2.1070962909444697), ('religious', 2.1035442893701486), ('items', 2.1035442893701486), ('egypt', 2.095797038026617), ('arab', 2.095797038026617), ('coffee', 2.0953220695776693), ('deep', 2.031956776401261), ('history', 2.024912626050786), ('fabrics', 1.9996437016432536), ('framed', 1.9921863998466955), ('traditions', 1.96633022033596), ('contemporary', 1.9654307359567378), ('with', 1.9640037807504716)]"
a Latino,,"[('latino', 10.959776694912458), ('spanish', 6.10800965662872), ('latin', 5.6317259713548085), ('music', 4.940605611010016), ('vibrant', 4.720646504010112), ('heritage', 4.625390894068986), ('family', 4.574023851932892), ('language', 4.124377967070377), ('america', 4.11476918210352), ('traditions', 4.0357520697934), ('american', 3.9654352913091433), ('rich', 3.950054239964918), ('english', 3.928841068207496), ('cultural', 3.859926883962917), ('lively', 3.7991968362825683), ('indigenous', 3.752622752167852), ('salsa', 3.592744013822905), ('gatherings', 3.328570584153837), ('mexico', 3.2040675765250173), ('warm', 2.9768027650130238), ('portuguese', 2.9163867596223487), ('community', 2.804152597452668), ('dark', 2.7482713701602735), ('speak', 2.7306575320501243), ('filled', 2.6610655294583547), ('colombia', 2.597099041930747), ('food', 2.554755082531902), ('of', 2.431220781717007), ('carlos', 2.4217473312795392), ('languages', 2.400645119048731), ('african', 2.342922365089227), ('laughter', 2.3294116896182393), ('culture', 2.3230648615271647), ('speaks', 2.30065197723939), ('tamales', 2.297433291482312), ('stories', 2.265624680859364), ('countries', 2.2577456969816327), ('dance', 2.255786418842533), ('and', 2.2300979934005345), ('abuelas', 2.1894258085617038), ('tapestry', 2.1874144354665757), ('colorful', 2.1858851586507972), ('roots', 2.1793701675819537), ('seamlessly', 2.1696193394753283), ('mexican', 2.1660050976796863), ('fluent', 2.1352524884316293), ('delicious', 2.108704121442786), ('sounds', 2.098940683538804), ('both', 2.079793489458331), ('connection', 2.068659174181567), ('dishes', 2.061916604764814), ('our', 2.0537647481067243), ('men', 2.027129061784393), ('latinos', 2.0260787735667494), ('pride', 2.0060804849276885)]"
,W,[]
,M,"[('his', 10.8154104125059), ('he', 9.451991329082201), ('man', 6.942542382308089), ('brown', 5.5378078815765495), ('dark', 4.810768462491722), ('eyes', 4.762407980554767), ('skin', 4.646646085672737), ('description', 4.531772969290748), ('physical', 4.025812651096508), ('features', 3.9879235639276014), ('hair', 3.9792960647345685), ('the', 3.972141319646848), ('you', 3.7419880893067754), ('can', 3.597458628171271), ('olive', 3.3536890297534265), ('thick', 3.245352086854681), ('tall', 3.1876153429579017), ('character', 3.1061798398321225), ('', 3.1043149807808628), ('build', 3.0875295769461144), ('straight', 3.0552039573318237), ('beard', 3.0364621284438806), ('from', 3.030792597903405), ('tone', 3.0095500844633043), ('if', 2.8918754361150003), ('green', 2.8439475806220615), ('mirror', 2.8201527816902527), ('casual', 2.791563943332625), ('men', 2.763517575353672), ('vary', 2.7215043037456255), ('our', 2.7128285817805105), ('eye', 2.7046437812788064), ('specific', 2.613717692806075), ('tones', 2.558811652610714), ('lighter', 2.5400565500575265), ('light', 2.499990895902423), ('professional', 2.4960513943419307), ('software', 2.495400075967946), ('provide', 2.4829353395388902), ('range', 2.4811127763196295), ('a', 2.4681575357063603), ('sun', 2.462138056372986), ('hazel', 2.428424883124794), ('attire', 2.402746190200684), ('see', 2.401095125502975), ('dressed', 2.395047833726124), ('blue', 2.3914883667228164), ('characteristics', 2.3716747054130125), ('smart', 2.3609287633021325), ('traits', 2.3153117867864497), ('work', 2.2937800242016784), ('widely', 2.291829200610215), ('wavy', 2.28756606694454), ('now', 2.2762571445391466), ('wears', 2.2762571445391466), ('details', 2.274813162760434), ('facial', 2.2597628246289485), ('deep', 2.25216528255842), ('here', 2.2450459195357246), ('wide', 2.2435126528005216), ('countries', 2.2015869261279897), ('years', 2.1995147213212083), ('generally', 2.1985794046984184), ('family', 2.188281383950709), ('usually', 2.1753916689280213), ('setting', 2.1678859458994735), ('pale', 2.1652513005805214), ('stands', 2.1522229724453754), ('many', 2.150754673443914), ('warm', 2.146679385407499), ('ethnicities', 2.1446778241903526), ('avoid', 2.1221594087312883), ('wellgroomed', 2.115534093715705), ('context', 2.114903657127906), ('blonde', 2.114179269218817), ('him', 2.1101581511327074), ('including', 2.086746545877714), ('assist', 2.086232597194083), ('appearances', 2.0812320166388187), ('backgrounds', 2.0600883950356725), ('complexion', 2.0537689135430197), ('business', 2.0445109794465077), ('playing', 2.0445109794465077), ('shades', 2.0283107540382552), ('we', 2.0208552708482674), ('on', 2.0160937647344253), ('today', 2.0122672964964643), ('thobe', 2.0051353710526443), ('robe', 1.9811664241647764), ('country', 1.9682592817854452), ('trimmed', 1.964888486338614), ('color', 1.9606554330508492)]"
,N,"[('their', 13.829773398514586), ('nonbinary', 13.425764624041186), ('gender', 12.546195092933246), ('they', 12.334547637754497), ('identity', 10.005714139010792), ('person', 7.479631700066901), ('female', 7.448608786260774), ('male', 7.202583524084247), ('pronouns', 6.425487293669076), ('norms', 6.237670038695071), ('identify', 6.027973664180762), ('categories', 5.771577975587232), ('theythem', 5.720189457470589), ('express', 5.449347230600881), ('strictly', 4.824582453664766), ('use', 4.775247470944954), ('that', 4.662186434706073), ('ways', 4.657417558147724), ('feels', 4.588999349440959), ('this', 4.5543982052907985), ('means', 4.492552964001203), ('mix', 4.483335450737945), ('traditional', 4.421597424276345), ('navigating', 4.354192410398549), ('themselves', 4.231666005323021), ('exclusively', 4.203981780185481), ('binary', 4.203981780185481), ('expectations', 4.196760224515265), ('choose', 4.188066652026589), ('unique', 4.1821000204361996), ('expression', 4.18040882334667), ('understanding', 4.176685841134505), ('conventional', 4.168770588846643), ('eclectic', 4.112417616268541), ('experience', 4.063733411210823), ('not', 4.0403833578952515), ('alex', 4.024857389939676), ('authentic', 3.989855659445561), ('conform', 3.9667095280983933), ('prefer', 3.940354768967995), ('genderneutral', 3.8884014781332836), ('both', 3.7992911689512234), ('social', 3.741027631303219), ('fit', 3.67355092825159), ('self', 3.6403514639082424), ('navigate', 3.615809231451738), ('feminine', 3.599649269434934), ('patterns', 3.5793824344537626), ('masculine', 3.545726978360931), ('them', 3.531264816411637), ('true', 3.5309659326092175), ('neither', 3.5039596281248695), ('identities', 3.4530424876234562), ('inclusivity', 3.3519129377880943), ('feel', 3.3487529654514185), ('does', 3.3255073072032846), ('outside', 3.3202342123570916), ('elements', 3.3128837171464105), ('identifies', 3.213776268812959), ('advocating', 3.1798141043880954), ('fluidity', 3.1640345479468555), ('world', 3.1347098067775243), ('spaces', 3.1250525172492565), ('blending', 3.104849923544519), ('do', 3.0777645099217756), ('sometimes', 2.9888387423827902), ('challenging', 2.9677923946861484), ('traditionally', 2.962266941408693), ('doesnt', 2.962266941408693), ('colorful', 2.9599623956924064), ('being', 2.9289659562657526), ('journey', 2.901944723026723), ('transcends', 2.8711872762068946), ('roles', 2.857815022307998), ('who', 2.855733170500114), ('vibrant', 2.823641942559225), ('society', 2.8228906846267514), ('bold', 2.7894610448018193), ('individual', 2.782033975410188), ('fashion', 2.7679382845004463), ('intersection', 2.766704404572382), ('acceptance', 2.7129568299665534), ('space', 2.7129568299665534), ('embrace', 2.6904054929739214), ('advocate', 2.6643292760298625), ('woman', 2.6581243318226555), ('hairstyle', 2.6193444283266345), ('entirely', 2.602138326161797), ('selfexpression', 2.602138326161797), ('complex', 2.597764070377669), ('styles', 2.5949430495456336), ('clothing', 2.5782917035700414), ('jewelry', 2.5449226856868132), ('binaries', 2.5449226856868132), ('blend', 2.5233920763660165), ('beyond', 2.511459482312426), ('mixing', 2.4886448601524966), ('societal', 2.4886448601524966), ('androgynous', 2.48639252453448), ('genders', 2.48639252453448), ('fluid', 2.48639252453448), ('way', 2.4667958883318097), ('accessories', 2.4578070216394554), ('defy', 2.4264527190935503), ('style', 2.3920209003691366), ('wardrobe', 2.390445511218934), ('comfortable', 2.3160153181904026), ('embracing', 2.287303891426726), ('equality', 2.2848369800311286), ('finding', 2.273567667840771), ('tapestry', 2.238887490986224), ('taylor', 2.237029289666904), ('challenges', 2.2309129617821117), ('align', 2.2197324856628793), ('nor', 2.2197324856628793), ('am', 2.2146852805733217), ('own', 2.1957588510725925), ('loose', 2.181261237925595), ('of', 2.17995311105959), ('somewhere', 2.1702211545811947), ('boundaries', 2.1702211545811947), ('sami', 2.1702211545811947), ('conversations', 2.168036489747456), ('experiences', 2.1585430351044166), ('expressing', 2.1461946981899778), ('cultural', 2.126424161527032), ('pieces', 2.1105898914531576), ('cuts', 2.1012920732902), ('selfdiscovery', 2.1012920732902), ('lgbtq', 2.1012920732902), ('terms', 2.092790364703762), ('felt', 2.0612758088510064), ('flowing', 2.0415954687257685), ('pants', 2.039727861378529), ('inner', 2.030026008447388), ('confined', 2.030026008447388), ('expressions', 2.027895249023863), ('fabrics', 2.0004313227198876), ('blends', 1.9981052865163713)]"
a White,W,[]
a White,M,"[('blue', 7.912910571019776), ('green', 7.703842426793965), ('brown', 7.609322358840972), ('white', 7.2719077084700805), ('color', 6.918298948765652), ('blonde', 6.546444799657836), ('pale', 6.357365136674554), ('from', 6.136969458209988), ('you', 6.120369293423106), ('lighter', 6.022055258722329), ('can', 5.769543144118938), ('hazel', 5.760760448350295), ('red', 5.6417181372325444), ('eye', 5.464387873200322), ('ranging', 5.0253987707551735), ('light', 5.012643005680248), ('vary', 4.930558332865655), ('shades', 4.882177689542932), ('blond', 4.776424878467488), ('olive', 4.686130648671881), ('european', 4.610413125645449), ('characteristics', 4.573395480323873), ('generally', 4.492362775494529), ('assist', 4.398467213098308)]"
